threshold,precision,recall
0.9999999999999589,0.0,0.0
0.4065022613747988,0.11398963730569948,0.0004386227246446159
0.3484656789493891,0.20170454545454544,0.0014155551568076242
0.3309695815876136,0.18929254302103252,0.0019738022609007717
0.31836231244980856,0.21605839416058395,0.0029507346930637795
0.30633177587044635,0.2364475201845444,0.00408716629782483
0.29276854112917033,0.2459485224022879,0.005143848316286859
0.2878737923849946,0.24230145867098865,0.005961281575851825
0.2833737097038573,0.25106082036775107,0.007077775784038121
0.2784905231851387,0.2672521957340025,0.008493330940845744
0.2744889838322824,0.26040494938132736,0.00923101461411169
0.270949003125618,0.2558974358974359,0.009948760890802879
0.26934649596635934,0.25469924812030076,0.010806068943517355
0.26567093847175416,0.23572664359861592,0.010865881133241622
0.26232697596577687,0.24130962004850445,0.011902625755128895
0.2603584435481122,0.24546827794561935,0.012959307773590924
0.2586350507693608,0.23500352858151025,0.013278306118787008
0.25710718321129555,0.2361341746927931,0.014175488964650996
0.2554138969601312,0.2366938008766437,0.015072671810514983
0.25390416569104124,0.22903703703703704,0.015411607552285822
0.25231299958199616,0.22938867077958497,0.01630879039814981
0.25102028445624824,0.2279723991507431,0.017126223657714774
0.24994944233996372,0.22538794199949122,0.017664533365233166
0.24892862825932607,0.22466422466422467,0.01834240484877485
0.2482122207938847,0.22404884922498824,0.019020276332316528
0.2467768588815278,0.2147982062780269,0.019100025918615548
0.2456958451123308,0.21174185193179365,0.01955858603983492
0.24459002876450525,0.2157392026578073,0.020714955041170723
0.24336873883671567,0.22037630104083267,0.02195107362880555
0.24238792179772153,0.22054556006964596,0.022728632095221007
0.24173558841027315,0.21423220973782772,0.022808381681520027
0.24099194275465294,0.21581041968162085,0.023785314113683034
0.24002739671691745,0.2128182616330114,0.024164124648603385
0.23889460596392392,0.21098265895953758,0.024742309149271287
0.2384623560568275,0.20943271767810026,0.025320493649939192
0.2375962498721912,0.2073268277075668,0.025838865960882827
0.23711262902171754,0.20873484612993473,0.026775923599896327
0.2365493665786967,0.20627462867535618,0.02713479673824192
0.23586900343253964,0.20504499188670897,0.027712981238909824
0.23510948584775737,0.2037703266657073,0.02823135354985346
0.23459446541569048,0.2017149283103739,0.02861016408477381
0.23397631924728635,0.2001371742112483,0.02908866160256794
0.23331225862729016,0.20008013890743956,0.02986622006898339
0.2326933702895397,0.20422810909565445,0.031202025639491995
0.23222535989250045,0.20471337579617835,0.03203939629563172
0.23184125288295648,0.20536494073611977,0.03281695476204717
0.23147648090051506,0.20628131492117804,0.033654325418186894
0.2310043551545961,0.20681381957773512,0.03437207169487808
0.23038056827423278,0.20637524903316537,0.03510975536814403
0.2298810590236912,0.20536943552088113,0.035687939868811934
0.2293147241662172,0.2042055549308445,0.03620631217975557
0.22875299519911474,0.20602183743244734,0.03724305680164284
0.22820247338044172,0.2077879935100054,0.03829973882010487
0.22799989546684252,0.21101209420751113,0.03965548178718823
0.22756409100204056,0.20912309935430118,0.04003429232210858
0.2271674118813818,0.20912896967221484,0.04083178818509879
0.22649257163572406,0.21003009027081243,0.041748908427537534
0.2262052959677761,0.2104328961640864,0.042546404290527744
0.22560466482648356,0.211398662401861,0.043483461929541244
0.22533023783693007,0.21272138640258997,0.04454014394800327
0.22484242956841574,0.21355486717356614,0.045357577207568237
0.2244172280672812,0.21417366429823753,0.04627469745000698
0.22416401944230452,0.21457122093023256,0.047092130709571946
0.22388841988718886,0.21566523605150215,0.04808900053830971
0.22352402038477504,0.21584001409567438,0.048846621608150405
0.22309441657604642,0.2156964656964657,0.04964411747114062
0.22280466779430372,0.21664532650448143,0.05060111250672887
0.2225749315183242,0.21854527129178566,0.05187710588751321
0.22232620222939659,0.21726904308990158,0.052375540801882094
0.2219949931075053,0.216557911908646,0.052933787905975235
0.22160802338219754,0.21808980641015344,0.05413003170046055
0.22136474232533276,0.21882669622357692,0.05510696413262356
0.2210197199108903,0.21762870514820593,0.0556253364435672
0.22070027771568643,0.21968879987675244,0.056861455031202025
0.22043394704025882,0.22008660639671807,0.05775863787706601
0.22013235529166492,0.2202501310566914,0.05863588332635524
0.21975636222537534,0.2210969840331165,0.059632753155093005
0.2194572097318367,0.21840839527765632,0.05975237753454154
0.2191787587955117,0.21959119044191738,0.06082899694957832
0.21899396173243518,0.2204411660401447,0.061965428554339376
0.218658259394105,0.22006857462738785,0.06270311222760531
0.2184922201910258,0.22009536314007325,0.06350060809059553
0.21818467269923345,0.22210095497953616,0.06491616324740315
0.21787372284197545,0.22286560732561272,0.06599278266243994
0.2176775287464536,0.22407025480673276,0.06714915166377575
0.2173017104826764,0.2241639839695158,0.06802639711306498
0.21702967634538675,0.22366541109234966,0.06866439380345714
0.21674056130770306,0.22174415617775495,0.06884383037262994
0.2165784429391984,0.22231394462788925,0.06980082540821819
0.21635904633262762,0.22273184217139985,0.07067807085750742
0.2161510069667522,0.22468138016785824,0.07205375122116554
0.21588907118064646,0.22410187007874016,0.07263193572183345
0.21563130086446738,0.22427745664739884,0.07348924377454792
0.21545590825035243,0.22370718198783937,0.07408736567179058
0.21521185509533045,0.22222884031210913,0.07438642662041191
