ccn,state,county,county_fips,harm_survey_week,flagged,first_crossing_week,lead_days,score_at_crossing,prior_harm_rate_at_crossing,hprd_total_at_crossing,hprd_rn_at_crossing,rn_share_at_crossing,contract_frac_at_crossing,weekend_gap_at_crossing,hprd_cv_at_crossing,hprd_trend_at_crossing,low_days_frac_at_crossing,census_at_crossing,matched_controls,matched_controls_not_flagged
155768,IN,Vanderburgh,163,2025-03-31,0,,,,,,,,,,,,,,114,88
155775,IN,Tippecanoe,157,2025-06-16,0,,,,,,,,,,,,,,172,126
155792,IN,Hendricks,063,2025-11-10,0,,,,,,,,,,,,,,19,6
155799,IN,Grant,053,2026-02-23,1,2025-09-01,175,0.172923,0.444884,3.230795,0.421109,0.130342,0.000482,0.169641,0.13854,0.043059,0.677778,60.688889,173,139
155802,IN,Vigo,167,2025-05-12,0,,,,,,,,,,,,,,171,139
155803,IN,Warrick,173,2025-04-07,0,,,,,,,,,,,,,,112,74
155820,IN,Vanderburgh,163,2025-04-07,0,,,,,,,,,,,,,,113,87
155836,IN,Hendricks,063,2025-05-19,0,,,,,,,,,,,,,,112,71
155840,IN,Lake,089,2025-07-28,0,,,,,,,,,,,,,,112,71
155841,IN,Hamilton,057,2026-03-16,1,2025-09-22,175,0.173447,0.0,3.510159,0.82739,0.235713,0.119801,0.201409,0.107828,0.048803,0.333333,99.166667,55,34
165110,IA,Des Moines,057,2025-12-15,0,,,,,,,,,,,,,,9,9
165151,IA,Lee,111,2026-03-09,0,,,,,,,,,,,,,,110,80
165191,IA,Montgomery,137,2025-04-14,1,2025-03-24,21,0.169473,0.0,3.332479,0.678964,0.203742,0.0,0.304108,0.175512,0.152241,0.5,41.565217,185,128
165191,IA,Montgomery,137,2025-08-11,1,2025-03-24,140,0.169473,0.0,3.332479,0.678964,0.203742,0.0,0.304108,0.175512,0.152241,0.5,41.565217,192,128
165234,IA,Washington,183,2025-10-27,1,2025-05-05,175,0.183453,0.503793,4.159852,0.525468,0.126319,0.417946,0.14633,0.108035,0.073691,0.065217,51.347826,110,71
165238,IA,Crawford,047,2025-10-20,0,,,,,,,,,,,,,,193,120
165240,IA,Allamakee,005,2025-09-08,1,2025-03-24,168,0.173118,0.0,3.436603,1.020414,0.296925,0.114643,0.216617,0.134517,0.088783,0.445652,51.673913,110,71
