threshold,precision,recall
0.9999916062029327,1.0,2.0674826331458817e-05
0.9982560265051987,0.5789473684210527,0.00045484617929209394
0.9935620042546139,0.38666666666666666,0.0005995699636123056
0.9797100934565162,0.29464285714285715,0.000682269268938141
0.9614924055431509,0.30201342281879195,0.0009303671849156467
0.9412995447918675,0.2849462365591398,0.0010957657955673172
0.9237705579177896,0.2645739910313901,0.00121981475355607
0.896787663430853,0.2423076923076923,0.0013025140588819055
0.8768374524207312,0.21212121212121213,0.0013025140588819055
0.8479584170427665,0.20958083832335328,0.0014472378432021172
0.8111282845933487,0.20215633423180593,0.0015506119748594112
0.7718811858868587,0.21515892420537897,0.0018193847171683757
0.7241040872963512,0.21300448430493274,0.0019641085014885876
0.6767021184719414,0.2028985507246377,0.002026132980482964
0.6381082395827729,0.19615384615384615,0.002108832285808799
0.5912556514851534,0.18312387791741472,0.002108832285808799
0.5633046481139774,0.18181818181818182,0.002232881243797552
0.5226948162243076,0.17591125198098256,0.0022949057227919286
0.4941421113025156,0.1721556886227545,0.002377605028117764
0.4674607513391361,0.1673758865248227,0.00243962950711214
0.4354547628949215,0.16576819407008087,0.0025430036387694343
0.408926710473581,0.16174582798459564,0.002605028117763811
0.3857254295193858,0.16176470588235295,0.002729077075752564
0.36666746722671717,0.16412661195779601,0.0028944756864042343
0.3513594505997664,0.15712682379349047,0.0028944756864042343
0.3360760587549194,0.15301724137931033,0.002935825339067152
0.32288732316225954,0.15233160621761657,0.0030391994707244458
0.3094123819416958,0.1497005988023952,0.0031012239497188224
0.2960427643245053,0.1472569778633301,0.0031632484287131986
0.2829411877206214,0.1496282527881041,0.003328647039364869
0.2724916923712619,0.14734950584007186,0.0033906715183592458
0.25985462241714596,0.14856646394439618,0.0035353953026794577
0.25067444862993904,0.14814814814814814,0.0036387694343367515
0.2420224714622191,0.14448979591836736,0.0036594442606682105
0.23606447786196816,0.14251781472684086,0.0037214687396625867
0.22852813390372537,0.13923076923076924,0.0037421435659940458
0.2209047492637825,0.137621540762902,0.003804168044988422
0.2168514923176515,0.13454545454545455,0.003824842871319881
0.21129057129122408,0.13101983002832862,0.003824842871319881
0.20707347808130733,0.1331953071083506,0.0039902414819715515
0.20116742478818134,0.13055181695827725,0.0040109163083030105
0.19526294047151338,0.13066316480630336,0.004114290439960304
0.19156091878542283,0.12756410256410255,0.004114290439960304
0.18798314333589983,0.12711333750782716,0.00419698974528614
0.18469856223068615,0.1266829865361077,0.004279689050611975
0.18084936631512702,0.12507480550568523,0.0043210387032748925
0.17633213966416494,0.12295081967213115,0.0043417135296063515
0.17340737471270598,0.12378223495702005,0.004465762487595104
0.1706007413809688,0.12289562289562289,0.004527786966589481
0.16751824802839677,0.12094557449147883,0.004548461792920939
