make,model,model_year,component_group,recall_report_week,campaign_numbers,flagged,first_crossing_week,lead_days,score_at_crossing,n_trailing_at_crossing,rate_ratio_at_crossing,accel_at_crossing,severity_frac_at_crossing,hazard_lang_at_crossing,matched_controls,matched_controls_not_flagged
KIA,SOUL,2013,SERVICE BRAKES,2023-09-21,23V652000,1,2023-03-30,175,0.012911,1.0,4.333333,0.0,0.0,0.0,167,0
CLEK,FOONF,9999,CHILD SEAT,2021-11-25,21C005000,0,,,,,,,,,0,0
KIA,OPTIMA,2012,SERVICE BRAKES,2023-09-21,23V652000,1,2023-03-30,175,0.012911,1.0,4.333333,0.0,0.0,0.0,137,0
BMW,X5 SAV,2009,ENGINE,2022-02-24,22V119000,0,,,,,,,,,63,0
BUICK,LACROSSE,2011,SUSPENSION,2021-12-16,21V00F000,1,2021-06-24,175,0.017665,7.0,3.791667,0.0,0.0,0.142857,59,0
BMW,X3,2013,ENGINE,2024-08-08,24V608000,1,2024-02-15,175,0.022756,2.0,1.083333,0.0,0.0,0.5,94,0
TOYOTA,TUNDRA,2011,STEERING,2021-11-18,21V920000,1,2021-10-07,42,0.020711,1.0,4.333333,1.0,1.0,0.0,169,0
TOYOTA,TUNDRA,2011,STEERING,2021-12-23,21E103000,1,2021-10-07,77,0.020711,1.0,4.333333,1.0,1.0,0.0,164,0
KIA,OPTIMA,2011,SERVICE BRAKES,2023-09-21,23V652000,1,2023-04-06,168,0.027378,1.0,1.444444,1.0,1.0,1.0,99,0
SUBARU,FORESTER,2009,SEAT BELTS,2022-11-10,22V838000,0,,,,,,,,,31,0
MERCEDES BENZ,ML350,2006,SERVICE BRAKES,2022-05-05,22V315000,0,,,,,,,,,39,0
MERCEDES BENZ,ML350,2006,SERVICE BRAKES,2024-04-25,24V298000,0,,,,,,,,,36,0
HYUNDAI,TUCSON,2011,SERVICE BRAKES,2023-09-21,23V651000,0,,,,,,,,,122,0
MINI,COOPER,2007,ELECTRICAL SYSTEM,2023-05-11,23V337000,0,,,,,,,,,8,0
TOYOTA,RAV4,2013,ELECTRICAL SYSTEM,2023-10-26,23V734000,1,2023-05-18,161,0.029546,1.0,1.083333,1.0,1.0,1.0,166,0
KIA,OPTIMA,2013,STRUCTURE,2022-07-28,22V560000,1,2022-02-03,175,0.030812,6.0,1.04,1.0,0.0,0.166667,152,0
BMW,X3 SAV,2007,ENGINE,2022-02-24,22V119000,0,,,,,,,,,75,0
BUICK,LACROSSE,2013,SUSPENSION,2021-08-12,21V633000,1,2021-02-18,175,0.020954,1.0,2.166667,1.0,0.0,0.0,62,0
BUICK,LACROSSE,2013,SUSPENSION,2021-12-16,21V00F000,1,2021-06-24,175,0.022596,8.0,3.151515,1.0,0.0,0.0,63,0
BUICK,ENCLAVE,2012,AIR BAGS,2021-10-07,21V782000,0,,,,,,,,,67,0
KIA,OPTIMA,2012,STRUCTURE,2022-07-28,22V560000,1,2022-02-03,175,0.020512,1.0,2.166667,0.0,0.0,0.0,118,0
NITTO,CROSSTEK 2,9999,TIRES,2025-10-09,25T018000,1,2025-04-17,175,0.012911,1.0,4.333333,0.0,0.0,0.0,0,0
BMW,X3 SAV,2008,ENGINE,2022-02-24,22V119000,0,,,,,,,,,71,0
BMW,328I,2012,AIR BAGS,2024-06-27,24V513000,0,,,,,,,,,102,0
TOYOTA,TUNDRA,2005,SUSPENSION,2022-01-13,22E002000,1,2021-07-22,175,0.02814,2.0,0.866667,0.0,0.0,0.0,137,0
BMW,3 SERIES,2006,ENGINE,2022-02-24,22V119000,0,,,,,,,,,52,0
KIA,SPORTAGE,2008,SERVICE BRAKES,2022-10-20,22V800000,1,2022-04-28,175,0.014492,1.0,4.333333,0.0,1.0,1.0,39,0
BMW,Z4,2011,ENGINE,2022-02-24,22V119000,1,2022-01-27,28,0.013191,1.0,4.333333,1.0,0.0,0.0,103,0
BMW,Z4,2011,ENGINE,2023-10-19,23V707000,1,2023-04-27,175,0.027025,1.0,0.866667,0.0,0.0,0.0,88,0
VOLVO,S60,2003,AIR BAGS,2021-09-30,21V766000,0,,,,,,,,,19,0
NISSAN,QUEST,2008,AIR BAGS,2023-02-09,23V067000,0,,,,,,,,,83,0
BMW,X3,2013,ELECTRICAL SYSTEM,2024-08-08,24V608000,0,,,,,,,,,95,0
BMW,328I,2009,AIR BAGS,2024-06-27,24V513000,0,,,,,,,,,44,0
EVENFLO,BIG KID,9999,CHILD SEAT,2025-03-13,25C003000,0,,,,,,,,,21,0
BMW,328I,2012,ENGINE,2024-08-08,24V608000,1,2024-02-15,175,0.018481,1.0,1.083333,0.0,0.0,1.0,99,0
BMW,328I,2012,ELECTRICAL SYSTEM,2024-08-08,24V608000,0,,,,,,,,,100,0
MERCEDES BENZ,C300,2008,EXTERIOR LIGHTING,2022-03-17,22V168000,1,2022-01-06,70,0.020954,1.0,2.166667,1.0,0.0,0.0,50,0
FORD,EXPLORER,2013,SUSPENSION,2021-07-15,21V537000,1,2021-01-21,175,0.022372,9.0,3.0,0.0,0.111111,0.333333,392,0
FORD,EXPLORER,2013,SUSPENSION,2021-09-16,21V746000,1,2021-03-25,175,0.02866,5.0,1.354167,0.0,0.0,0.0,389,0
CHEVROLET,SONIC,2013,AIR BAGS,2023-07-27,23V516000,0,,,,,,,,,273,0
